sourceEventId,sourceSystem,eventType,businessObjectId,batchId,occurredAt,quantity,unit,location,bundleIds,relatedBatchIds,relatedEventRefs,evidenceIds,supplier,receiver,handoverId,details
STEEL-001,S2-WMS,ARRIVAL,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T02:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""到货（模拟数据）""}"
STEEL-002,S2-WMS,ACCEPTANCE,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T03:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,S2-WMS:STEEL-001,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""验收（模拟数据）""}"
STEEL-003,S2-WMS,WEIGHING,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T04:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,S2-WMS:STEEL-002,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""过磅（模拟数据）""}"
STEEL-004,S2-WMS,UNLOADING,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T05:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,S2-WMS:STEEL-003,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""卸货（模拟数据）""}"
STEEL-005,S2-WMS,WAREHOUSE_IN,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T06:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,S2-WMS:STEEL-004,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""入库（模拟数据）""}"
STEEL-006,S2-WMS,TRANSFER,STEEL-ORDER-001,STEEL-2026-001,2026-09-10T07:00:00Z,100,吨,开发验证货场,BUNDLE-001|BUNDLE-002,,S2-WMS:STEEL-005,,模拟供应商甲,模拟接收单位乙,,"{""note"": ""移库（模拟数据）""}"
STEEL-007,S2-WMS,LOADING,STEEL-ORDER-001,STEEL-2026-001-60,2026-09-10T08:00:00Z,60,吨,开发验证货场,BUNDLE-001,STEEL-2026-001,S2-WMS:STEEL-006,,模拟供应商甲,模拟接收单位乙,HANDOVER-060,"{""note"": ""装车（模拟数据）""}"
STEEL-008,S2-WMS,DISPATCH,STEEL-ORDER-001,STEEL-2026-001-60,2026-09-10T09:00:00Z,60,吨,开发验证货场,BUNDLE-001,STEEL-2026-001,S2-WMS:STEEL-007,,模拟供应商甲,模拟接收单位乙,HANDOVER-060,"{""note"": ""首次发运（模拟数据）""}"
STEEL-009,S2-WMS,LOADING,STEEL-ORDER-001,STEEL-2026-001-40,2026-09-10T10:00:00Z,40,吨,开发验证货场,BUNDLE-002,STEEL-2026-001,S2-WMS:STEEL-006,,模拟供应商甲,模拟接收单位丙,HANDOVER-040,"{""note"": ""装车（模拟数据）""}"
STEEL-010,S2-WMS,DISPATCH,STEEL-ORDER-001,STEEL-2026-001-40,2026-09-10T11:00:00Z,40,吨,开发验证货场,BUNDLE-002,STEEL-2026-001,S2-WMS:STEEL-009,,模拟供应商甲,模拟接收单位丙,HANDOVER-040,"{""note"": ""第二次发运（模拟数据）""}"
