module,blueprint,route,full_path,methods,function_name,auth_guards,line
blueprints/index/views.py,bp_index,/,/,GET,vue_index,,19
blueprints/auth/views_async.py,bp_async,/,/async,GET,async_api,,92
blueprints/auth/views_async.py,bp_async,/download/<task_id>,/async/download/<task_id>,GET,download_task_api,,300
blueprints/auth/views_async.py,bp_async,/status/<task_id>,/async/status/<task_id>,GET,status_task_api,,276
blueprints/auth/views_async.py,bp_async,/table_export,/async/table_export,GET|POST,table_export_api,,205
blueprints/auth/views_async.py,bp_async,/table_import,/async/table_import,GET|POST,table_import_api,,121
blueprints/auth/views_async.py,bp_async,/table_import/crm,/async/table_import/crm,GET|POST,table_import_api,,123
blueprints/auth/views_async.py,bp_async,/table_import/sync,/async/table_import/sync,GET|POST,table_import_api,,122
blueprints/auth/views_async.py,bp_async,/upload/file,/async/upload/file,GET|POST|PUT|DELETE,upload_file_api,,333
blueprints/auth/views_async.py,bp_async,/upload/file/<task_id>,/async/upload/file/<task_id>,GET|POST|PUT|DELETE,upload_file_api,,334
blueprints/auth/views.py,bp_auth,/company,/auth/company,GET|POST|PUT|DELETE,company_api,,119
blueprints/auth/views.py,bp_auth,/company/<company_id>,/auth/company/<company_id>,GET|POST|PUT|DELETE,company_api,,120
blueprints/auth/views.py,bp_auth,/company/<company_id>/image,/auth/company/<company_id>/image,GET|POST|PUT|DELETE,company_image_api,,163
blueprints/auth/views.py,bp_auth,/config,/auth/config,GET|POST|PUT,config_api,,533
blueprints/auth/views.py,bp_auth,/config/<config_id>,/auth/config/<config_id>,GET|POST|PUT,config_api,,534
blueprints/auth/views.py,bp_auth,/current_tenant,/auth/current_tenant,GET|POST|PUT,current_tenant_api,,342
blueprints/auth/views.py,bp_auth,/current_user,/auth/current_user,GET|POST,current_user_api,,316
blueprints/auth/views.py,bp_auth,/login,/auth/login,GET|POST,login_api,,191
blueprints/auth/views.py,bp_auth,/login/pda,/auth/login/pda,GET|POST,login_pda_api,,248
blueprints/auth/views.py,bp_auth,/logoff/<company_code>,/auth/logoff/<company_code>,GET|POST,logoff_api,,642
blueprints/auth/views.py,bp_auth,/logout,/auth/logout,GET|POST,logout_api,,285
blueprints/auth/views.py,bp_auth,/logout/pda,/auth/logout/pda,GET|POST,logout_api,,286
blueprints/auth/views.py,bp_auth,/register,/auth/register,GET|POST,register_api,,38
blueprints/auth/views.py,bp_auth,/register/code,/auth/register/code,GET|POST,register_code_api,,100
blueprints/auth/views.py,bp_auth,/setting,/auth/setting,GET|POST|PUT,setting_api,,591
blueprints/auth/views.py,bp_auth,/translation,/auth/translation,GET|POST|OPTIONS,translation_api,,505
blueprints/auth/views.py,bp_auth,/user,/auth/user,GET|POST|PUT|DELETE,user_api,,384
blueprints/auth/views.py,bp_auth,/user/<user_id>,/auth/user/<user_id>,GET|POST|PUT|DELETE,user_api,,385
