config_key,legacy_label,default_value,source_file
enable_erp,,false,src/App.vue
express_on,,'off',src/App.vue
is_close_when_pick,拣货后关闭出库单,true,src/App.vue
is_enable_finance,,false,src/App.vue
is_enable_inv_warn,启用库存告警,false,src/App.vue
is_enable_inv_freeze,启用库存冻结,false,src/App.vue
is_enable_inv_unfreeze,启用库存解冻,false,src/App.vue
is_enable_lpn,启用容器,false,src/App.vue
is_enable_quick_in,快速入库,false,src/App.vue
is_enable_quick_pick,快速拣货,false,src/App.vue
is_enable_out_barcode,启用扫条码出库,true,src/App.vue
is_enable_out_each_barcode,启用逐个扫条码出库,true,src/App.vue
is_enable_out_rfid,启用扫RFID出库,true,src/App.vue
is_enable_part_pick,,false,src/App.vue
is_scan_each_barcode,逐个扫条码出库,false,src/App.vue
is_scan_batch_barcode,扫条码出库,false,src/App.vue
is_enable_setting,显示系统配置菜单,false,src/App.vue
is_sync_downfile,启用同步方式下载文件,false,src/App.vue
is_enable_fast_invmove,启用快速移库,false,src/App.vue
is_enable_search_bar,,true,src/App.vue
is_enable_simple_mode,启用简洁模式,false,src/App.vue
is_enable_stockout_merge,启用波次出库,false,src/App.vue
