source_file,line,method,path_expression,first_segment,legacy_backend_match
src/App.vue,336,GET,'/warehouse/selection/'+selection).then(function(resp){,warehouse,yes
src/App.vue,365,POST,"'/auth/current_tenant', this.tenant).then(function(resp){",auth,yes
src/App.vue,392,GET,'/auth/current_user').then(function(resp){,auth,yes
src/App.vue,442,GET,"'/auth/translation?q={""per_page"":100}').then(function(resp){",auth,yes
src/components/dash/Dash.vue,160,GET,'/chart/order/count').then(function(resp){,chart,yes
src/components/dash/Dash.vue,208,GET,'/chart/money/count/pay').then(function(resp){,chart,yes
src/components/dash/Dash.vue,237,GET,'/chart/money/count/recv').then(function(resp){,chart,yes
src/components/finance/FinanceSummary.vue,223,GET,'/warehouse/partner?q='+JSON.stringify(q)).then(function(resp){,warehouse,yes
src/components/finance/FinanceSummary.vue,236,GET,'/auth/user?q='+JSON.stringify(q)).then(function(resp){,auth,yes
src/components/finance/FinanceSummary.vue,383,GET,'/finance/stat/partner/summary?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/List.vue,433,POST,"'/auth/config', env.conf).then(function(resp) {",auth,yes
src/components/finance/List.vue,465,POST,"'/async/table_export?q='+JSON.stringify(q), data).then(function(resp){",async,yes
src/components/finance/List.vue,480,POST,"'/finance/money/summary', this.summary).then(function(resp){",finance,yes
src/components/finance/List.vue,508,GET,'/finance/money/month/summary').then(function(resp){,finance,yes
src/components/finance/List.vue,574,PUT,"'/finance/money/'+this.object.id, this.object).then(function(resp){",finance,yes
src/components/finance/List.vue,585,POST,"'/finance/money', this.object).then(function(resp){",finance,yes
src/components/finance/List.vue,610,DELETE,'/finance/money/'+this.object.id).then(function(resp){,finance,yes
src/components/finance/List.vue,641,POST,"'/finance/money/pay/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/List.vue,661,POST,"'/finance/money/recv/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/List.vue,676,GET,'/finance/money/trans/'+object.id).then(function(resp){,finance,yes
src/components/finance/List.vue,690,GET,'/warehouse/partner?q='+JSON.stringify(q)).then(function(resp){,warehouse,yes
src/components/finance/List.vue,703,GET,'/auth/user?q='+JSON.stringify(q)).then(function(resp){,auth,yes
src/components/finance/List.vue,715,GET,'/finance/money/account?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/List.vue,855,GET,'/finance/money?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/MoneyAccount.vue,122,PUT,"'/finance/money/account/'+this.object.id, this.object).then(function(resp){",finance,yes
src/components/finance/MoneyAccount.vue,133,POST,"'/finance/money/account', this.object).then(function(resp){",finance,yes
src/components/finance/MoneyAccount.vue,231,GET,'/finance/money/account?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/Pay.vue,437,POST,"'/auth/config', env.conf).then(function(resp) {",auth,yes
src/components/finance/Pay.vue,470,POST,"'/async/table_export?q='+JSON.stringify(q), data).then(function(resp){",async,yes
src/components/finance/Pay.vue,485,POST,"'/finance/money/summary', this.summary).then(function(resp){",finance,yes
src/components/finance/Pay.vue,513,GET,'/finance/money/month/summary').then(function(resp){,finance,yes
src/components/finance/Pay.vue,580,PUT,"'/finance/money/'+this.object.id, this.object).then(function(resp){",finance,yes
src/components/finance/Pay.vue,591,POST,"'/finance/money', this.object).then(function(resp){",finance,yes
src/components/finance/Pay.vue,609,DELETE,'/finance/money/'+this.object.id).then(function(resp){,finance,yes
src/components/finance/Pay.vue,661,POST,"'/finance/money/pay/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/Pay.vue,676,POST,"'/finance/money/recv/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/Pay.vue,690,GET,'/finance/money/trans/'+object.id).then(function(resp){,finance,yes
src/components/finance/Pay.vue,704,GET,'/warehouse/partner?q='+JSON.stringify(q)).then(function(resp){,warehouse,yes
src/components/finance/Pay.vue,717,GET,'/auth/user?q='+JSON.stringify(q)).then(function(resp){,auth,yes
src/components/finance/Pay.vue,729,GET,'/finance/money/account?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/Pay.vue,869,GET,'/finance/money?q='+JSON.stringify(q)).then(function(resp){,finance,yes
src/components/finance/Recv.vue,441,POST,"'/auth/config', env.conf).then(function(resp) {",auth,yes
src/components/finance/Recv.vue,474,POST,"'/async/table_export?q='+JSON.stringify(q), data).then(function(resp){",async,yes
src/components/finance/Recv.vue,489,POST,"'/finance/money/summary', this.summary).then(function(resp){",finance,yes
src/components/finance/Recv.vue,517,GET,'/finance/money/month/summary').then(function(resp){,finance,yes
src/components/finance/Recv.vue,584,PUT,"'/finance/money/'+this.object.id, this.object).then(function(resp){",finance,yes
src/components/finance/Recv.vue,595,POST,"'/finance/money', this.object).then(function(resp){",finance,yes
src/components/finance/Recv.vue,613,DELETE,'/finance/money/'+this.object.id).then(function(resp){,finance,yes
src/components/finance/Recv.vue,644,POST,"'/finance/money/pay/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/Recv.vue,664,POST,"'/finance/money/recv/'+this.object.id, env.mact).then(function(resp){",finance,yes
src/components/finance/Recv.vue,678,GET,'/finance/money/trans/'+object.id).then(function(resp){,finance,yes
src/components/finance/Recv.vue,712,GET,'/warehouse/partner?q='+JSON.stringify(q)).then(function(resp){,warehouse,yes
