route_name,label,permission_codes,visibility_condition,source_file,line
StockinList,入库单,,,src/App.vue,36
StockoutList,出库单,,,src/App.vue,37
StockoutMerge,波次出库,,,src/App.vue,38
InvQuery,库存查询,,,src/App.vue,39
InvRfidQuery,唯一码库存,,,src/App.vue,40
InvWarn,库存预警,,,src/App.vue,41
InvFreeze,库存冻结,,,src/App.vue,42
InvReplenish,库位补货,,,src/App.vue,43
InvMove,移库单,,,src/App.vue,44
InvCount,盘点单,,,src/App.vue,45
StockoutTransfer,调拨出库,,,src/App.vue,46
StockinTransfer,调拨入库,,,src/App.vue,47
StockinQuick,快捷入库,,,src/App.vue,52
StockinScan,扫条码入库,,,src/App.vue,53
StockinScanBarcode,逐个扫条码入库,,,src/App.vue,54
StockinScanRFID,扫RFID入库,,,src/App.vue,55
Warehouse,仓库,,,src/App.vue,63
Area,库区,,,src/App.vue,66
Workarea,工作区,,,src/App.vue,67
Location,库位,,,src/App.vue,68
Category,货类,,,src/App.vue,69
Good,货品,,,src/App.vue,70
InvRfid,生成唯一码,,,src/App.vue,71
MoneyAccount,收款账户,,,src/App.vue,77
FinanceList,所有费用,,,src/App.vue,79
FinanceRecv,应收账款,,,src/App.vue,80
FinancePay,应付账款,,,src/App.vue,81
FinanceSummary,客户款项汇总,,,src/App.vue,82
AsyncQuery,导入导出,,,src/App.vue,89
StatStockin,入库单统计,,,src/App.vue,92
StatStockout,出库单统计,,,src/App.vue,93
Partner,合作伙伴,,,src/App.vue,98
Company,公司管理,,,src/App.vue,101
User,用户管理,,,src/App.vue,104
UserCenter,个人中心,,,src/App.vue,107
Setting,系统配置,,,src/App.vue,110
UserCenter,个人中心,,,src/App.vue,126
,数据管理,m_data,declared_only,src/App.vue,87
,导入导出,m_data_async,declared_only,src/App.vue,89
,数据管理>入库单统计,m_data_stockin,declared_only,src/App.vue,92
,数据管理>出库单统计,m_data_stockout,declared_only,src/App.vue,93
,财务信息,m_finance,declared_only,src/App.vue,74
,收款账户,m_finance_accont,declared_only,src/App.vue,77
,财务信息>所有费用,m_finance_list,declared_only,src/App.vue,79
,财务信息>应付账款,m_finance_pay,declared_only,src/App.vue,81
,财务信息>应收账款,m_finance_recv,declared_only,src/App.vue,80
,财务信息>工资单,m_finance_salary,declared_only,src/App.vue,273
,财务信息>客户款项汇总,m_finance_summary,declared_only,src/App.vue,82
,仓库管理,m_inv,declared_only,src/App.vue,36
,仓库管理>盘点单,m_inv_count,declared_only,src/App.vue,45
,仓库管理>波次出库,m_inv_merge,declared_only,src/App.vue,38
,仓库管理>移库单,m_inv_move,declared_only,src/App.vue,44
,仓库管理>库存查询,m_inv_query,declared_only,src/App.vue,39
,仓库管理>库位补货,m_inv_replenish,declared_only,src/App.vue,43
,仓库管理>入库单,m_inv_stockin,declared_only,src/App.vue,36
,仓库管理>出库单,m_inv_stockout,declared_only,src/App.vue,37
,仓库管理>库存告警,m_inv_warn,declared_only,src/App.vue,41
,仓库基础信息,m_stock,declared_only,src/App.vue,34
,仓库基础信息>库区,m_stock_area,declared_only,src/App.vue,66
,仓库基础信息>货类,m_stock_category,declared_only,src/App.vue,69
,仓库基础信息>货品,m_stock_good,declared_only,src/App.vue,70
,仓库基础信息>库位,m_stock_location,declared_only,src/App.vue,68
,仓库基础信息>生成唯一码,m_stock_rfid_gen,declared_only,src/App.vue,71
,仓库基础信息>仓库,m_stock_warehouse,declared_only,src/App.vue,272
,仓库基础信息>工作区,m_stock_workarea,declared_only,src/App.vue,67
,系统管理,m_system,declared_only,src/App.vue,98
,系统管理>合作伙伴,m_system_partner,declared_only,src/App.vue,98
,系统管理>系统配置,m_system_setting,declared_only,src/App.vue,275
,系统管理>用户管理,m_system_user,declared_only,src/App.vue,104
,仓库管理>调拨入库,m_transfer_in,declared_only,src/App.vue,47
,仓库管理>调拨出库,m_transfer_out,declared_only,src/App.vue,46
