module,class_name,table_name,bind_key,line,column_count,columns,tenant_fields,state_fields
asyncmodel.py,Async,ext_async,default,24,18,id|name|code|company_code|warehouse_code|owner_code|state|xtype|func|func_name|oss_link|_link|blob_uuid|exc_uuid|async_id|remark|create_time|update_time,company_code|owner_code|warehouse_code,state
auth.py,Company,u_company,auth,27,19,id|code|apikey|uniquekey|host|name|tel|email|contact|address|group|max_users|image_url|is_init|server_url|agent|remark|create_time|update_time,,
auth.py,User,u_user,auth,111,36,id|code|password|xtype|_apikey|department|jobno|post|name|tel|qq|wx|email|contact|address|state|roles|vroles|menus|partner_id|partner_code|partner_name|receiver_name|receiver_tel|receiver_province|receiver_city|receiver_area|receiver_town|receiver_address|owners|warehouses|factories|company_code|remark|create_time|update_time,company_code,state
auth.py,Partner,u_partner,default,301,43,id|code|name|tel|phone|email|contact|address|company_name|express_on|express_type|express_code|express_name|express_month_code|express_bid|express_appkey|express_secret|express_passwd|sender_name|sender_tel|sender_province|sender_city|sender_area|sender_town|sender_address|receiver_name|receiver_tel|receiver_province|receiver_city|receiver_area|receiver_town|receiver_address|qimen_type|qimen_url|qimen_customerid|qimen_secret|xtype|stype|company_code|coopkey|remark|create_time|update_time,company_code,
auth.py,Big,s_big,default,713,8,id|uuid|code|subcode|company_code|blob|create_time|update_time,company_code,
auth.py,Config,s_config,default,733,26,id|company_code|warehouse_code|owner_code|code|subcode|label|xtype|multi|index|options_multi|str1|str2|str3|int1|int2|int3|bool1|bool2|bool3|float1|float2|float3|remark|create_time|update_time,company_code|owner_code|warehouse_code,
auth.py,Seq,s_seq,default,778,9,id|company_code|warehouse_code|owner_code|code|seq|month|create_time|update_time,company_code|owner_code|warehouse_code,
auth.py,Did,s_did,default,831,19,id|user_code|code|subcode|col|str1|str2|int1|int2|bool1|bool2|float1|float2|company_code|warehouse_code|owner_code|remark|create_time|update_time,company_code|owner_code|warehouse_code,
auth.py,Contact,ext_contact,default,868,8,id|name|tel|email|content|remark|create_time|update_time,,
finance.py,Money,f_money,default,23,29,id|owner_code|company_code|warehouse_code|pay_type|code|subcode|partner_id|partner_code|partner_str|partner_name|contact_name|contact_tel|xtype|amount|bad|real|ref_user_code|come|invoice_type|invoice_no|invoice_url|state|date_finished|date_forcount|user_code|remark|create_time|update_time,company_code|owner_code|warehouse_code,state
finance.py,MoneyLine,f_money_line,default,127,13,id|owner_code|company_code|warehouse_code|money_id|real|ref_user_code|account_id|account_longname|user_code|remark|create_time|update_time,company_code|owner_code|warehouse_code,
finance.py,MoneySummary,f_money_summary,default,167,12,id|owner_code|company_code|warehouse_code|xtype|amount|real|come|month|remark|create_time|update_time,company_code|owner_code|warehouse_code,
finance.py,MoneyAccount,f_money_account,default,205,12,id|owner_code|company_code|warehouse_code|organ|name|account|longname|state|remark|create_time|update_time,company_code|owner_code|warehouse_code,state
inv.py,Inv,inv,default,20,38,id|owner_code|company_code|warehouse_code|location_code|area_code|workarea_code|category_code|sku|name|name_en|barcode|brand|qty|qty_alloc|qty_able|qty_freeze|stockin_date|partner_name|supplier_code|quality_type|product_date|expire_date|batch_code|virtual_warehouse|spec|style|color|size|unit|weight_unit|lpn|refid|refin_order_code|price|remark|create_time|update_time,company_code|owner_code|warehouse_code,
inv.py,InvRfid,inv_rfid,default,157,51,id|owner_code|company_code|warehouse_code|inv_id|qty|rfid|_weight|_gross_weight|_qty_inner|source|printed|state|location_code|area_code|workarea_code|category_code|sku|name|name_en|barcode|brand|partner_name|supplier_code|quality_type|product_date|expire_date|batch_code|virtual_warehouse|spec|style|color|size|unit|weight_unit|lpn|stockin_order_code|stockin_date|in_user_code|in_user_name|in_w_user_code|in_w_user_name|stockout_order_code|stockout_date|out_user_code|out_user_name|out_w_user_code|out_w_user_name|remark|create_time|update_time,company_code|owner_code|warehouse_code,state
inv.py,InvRfidTrans,inv_rfid_trans,default,305,18,id|owner_code|company_code|warehouse_code|rfid|sku|name|barcode|user_code|user_name|w_user_code|w_user_name|xtype|order_type|order_code|remark|create_time|update_time,company_code|owner_code|warehouse_code,
