path,name,component,component_file,domain
/,HelloWorld,HelloWorld,src/components/HelloWorld.vue,home
/dash,Dash,Dash,src/components/dash/Dash.vue,dash
/stockin/one/:order_id/sale/:sale_id,StockinOneSale,StockinOne,src/components/stockin/StockinOne.vue,stockin
/stockin/one/:order_id/produce/:produce_id,StockinOneProduce,StockinOne,src/components/stockin/StockinOne.vue,stockin
/stockin/one/:order_id/purchase/:purchase_id,StockinOnePurchase,StockinOne,src/components/stockin/StockinOne.vue,stockin
/stockin/one/:order_id,StockinOne,StockinOne,src/components/stockin/StockinOne.vue,stockin
/stockin/StockinList,StockinList,StockinList,src/components/stockin/StockinList.vue,stockin
/stockin/StockinTransfer,StockinTransfer,StockinTransfer,src/components/stockin/StockinTransfer.vue,stockin
/stockin/quick,StockinQuick,StockinQuick,src/components/stockin/StockinQuick.vue,stockin
/stockin/scan,StockinScan,StockinScan,src/components/stockin/StockinScan.vue,stockin
/stockin/scan/barcode,StockinScanBarcode,StockinScanBarcode,src/components/stockin/StockinScanBarcode.vue,stockin
/stockin/scan/rfid,StockinScanRFID,StockinScanRFID,src/components/stockin/StockinScanRFID.vue,stockin
/stockout/one/:order_id/sale/:sale_id,StockoutOneSale,StockoutOne,src/components/stockout/StockoutOne.vue,stockout
/stockout/one/:order_id/produce/:produce_id,StockoutOneProduce,StockoutOne,src/components/stockout/StockoutOne.vue,stockout
/stockout/one/:order_id/purchase/:purchase_id,StockoutOnePurchase,StockoutOne,src/components/stockout/StockoutOne.vue,stockout
/stockout/one/:order_id,StockoutOne,StockoutOne,src/components/stockout/StockoutOne.vue,stockout
/stockout/StockoutList,StockoutList,StockoutList,src/components/stockout/StockoutList.vue,stockout
/stockout/StockoutTransfer,StockoutTransfer,StockoutTransfer,src/components/stockout/StockoutTransfer.vue,stockout
/stockout/handle,StockoutHandle,StockoutHandle,src/components/stockout/StockoutHandle.vue,stockout
/stockout/scan,StockoutScan,StockoutScan,src/components/stockout/StockoutScan.vue,stockout
/stockout/scan/barcode,StockoutScanBarcode,StockoutScanBarcode,src/components/stockout/StockoutScanBarcode.vue,stockout
/stockout/scan/rfid,StockoutScanRFID,StockoutScanRFID,src/components/stockout/StockoutScanRFID.vue,stockout
/stockout/ship,StockoutShip,StockoutShip,src/components/stockout/StockoutShip.vue,stockout
/stockout/merge/one/:order_id,StockoutMergeOne,StockoutMergeOne,src/components/stockout/StockoutMergeOne.vue,stockout
/stockout/StockoutMerge,StockoutMerge,StockoutMerge,src/components/stockout/StockoutMerge.vue,stockout
/inv/query,InvQuery,InvQuery,src/components/inv/InvQuery.vue,inv
/inv/warn,InvWarn,InvWarn,src/components/inv/InvWarn.vue,inv
/inv/freeze,InvFreeze,InvFreeze,src/components/inv/InvFreeze.vue,inv
/inv/replenish,InvReplenish,InvReplenish,src/components/inv/InvReplenish.vue,inv
/inv/rfid,InvRfid,InvRfid,src/components/inv/InvRfid.vue,inv
/inv/InvRfidQuery,InvRfidQuery,InvRfidQuery,src/components/inv/InvRfidQuery.vue,inv
/inv/move,InvMove,InvMove,src/components/inv/InvMove.vue,inv
/inv/adjust,InvAdjust,InvAdjust,src/components/inv/InvAdjust.vue,inv
/inv/count,InvCount,InvCount,src/components/inv/InvCount.vue,inv
/warehouse/warehouse,Warehouse,Warehouse,src/components/warehouse/Warehouse.vue,warehouse
/warehouse/workarea,Workarea,Workarea,src/components/warehouse/Workarea.vue,warehouse
/warehouse/area,Area,Area,src/components/warehouse/Area.vue,warehouse
/warehouse/location,Location,Location,src/components/warehouse/Location.vue,warehouse
/warehouse/partner,Partner,Partner,src/components/warehouse/Partner.vue,warehouse
/warehouse/category,Category,Category,src/components/warehouse/Category.vue,warehouse
/warehouse/good,Good,Good,src/components/warehouse/Good.vue,warehouse
/warehouse/goodmap,GoodMap,GoodMap,src/components/warehouse/GoodMap.vue,warehouse
/warehouse/share,Share,Share,src/components/warehouse/Share.vue,warehouse
/async/query,AsyncQuery,AsyncQuery,src/components/system/AsyncQuery.vue,async
/system/user,User,User,src/components/system/User.vue,system
/system/UserCenter,UserCenter,UserCenter,src/components/system/UserCenter.vue,system
/system/company,Company,Company,src/components/system/Company.vue,system
/system/config,Config,Config,src/components/system/Config.vue,system
/system/sysconfig,SystemConfig,SystemConfig,src/components/system/SystemConfig.vue,system
/system/setting,Setting,Setting,src/components/system/Setting.vue,system
/finance/FinanceSummary,FinanceSummary,FinanceSummary,src/components/finance/FinanceSummary.vue,finance
/finance/FinanceList,FinanceList,FinanceList,src/components/finance/List.vue,finance
/finance/FinanceRecv,FinanceRecv,FinanceRecv,src/components/finance/Recv.vue,finance
/finance/FinancePay,FinancePay,FinancePay,src/components/finance/Pay.vue,finance
/finance/stat/stockin,StatStockin,StatStockin,src/components/finance/StatStockin.vue,finance
/finance/stat/stockout,StatStockout,StatStockout,src/components/finance/StatStockout.vue,finance
/finance/MoneyAccount,MoneyAccount,MoneyAccount,src/components/finance/MoneyAccount.vue,finance
