source_file,line,field,value,usage
blueprints/auth/action.py,82,state,delete,compare
blueprints/auth/action.py,83,state,delete,compare
blueprints/auth/action.py,91,state,delete,compare
blueprints/auth/tasks/export_base.py,84,state,done,assign
blueprints/auth/tasks/export_base.py,88,state,fail,assign
blueprints/auth/tasks/export_base.py,152,state,done,assign
blueprints/auth/tasks/export_base.py,156,state,fail,assign
blueprints/auth/tasks/export_base.py,210,state,done,assign
blueprints/auth/tasks/export_base.py,214,state,fail,assign
blueprints/auth/tasks/export_finance.py,79,state,done,assign
blueprints/auth/tasks/export_finance.py,83,state,fail,assign
blueprints/auth/tasks/export_inv.py,114,state,done,assign
blueprints/auth/tasks/export_inv.py,118,state,fail,assign
blueprints/auth/tasks/export_inv.py,169,state,done,assign
blueprints/auth/tasks/export_inv.py,173,state,fail,assign
blueprints/auth/tasks/export_inv.py,225,state,done,assign
blueprints/auth/tasks/export_inv.py,229,state,fail,assign
blueprints/auth/tasks/export_invwarn.py,105,state,done,assign
blueprints/auth/tasks/export_invwarn.py,109,state,fail,assign
blueprints/auth/tasks/export_stockin.py,77,state,done,assign
blueprints/auth/tasks/export_stockin.py,81,state,fail,assign
blueprints/auth/tasks/export_stockout.py,77,state,done,assign
blueprints/auth/tasks/export_stockout.py,81,state,fail,assign
blueprints/auth/tasks/import_base.py,61,state,done,assign
blueprints/auth/tasks/import_base.py,65,state,fail,assign
blueprints/auth/tasks/import_base.py,105,state,done,assign
blueprints/auth/tasks/import_base.py,109,state,fail,assign
blueprints/auth/tasks/import_base.py,149,state,done,assign
blueprints/auth/tasks/import_base.py,153,state,fail,assign
blueprints/auth/tasks/import_base.py,193,state,done,assign
blueprints/auth/tasks/import_base.py,197,state,fail,assign
blueprints/auth/tasks/import_base.py,315,state,done,assign
blueprints/auth/tasks/import_base.py,319,state,fail,assign
blueprints/auth/tasks/import_base.py,387,state,done,assign
blueprints/auth/tasks/import_base.py,391,state,fail,assign
blueprints/auth/tasks/import_base.py,431,state,done,assign
blueprints/auth/tasks/import_base.py,435,state,fail,assign
blueprints/auth/tasks/import_base.py,541,state,done,assign
blueprints/auth/tasks/import_base.py,545,state,fail,assign
blueprints/auth/tasks/import_base.py,593,state,done,assign
blueprints/auth/tasks/import_base.py,597,state,fail,assign
blueprints/auth/tasks/import_base.py,640,state,done,assign
blueprints/auth/tasks/import_base.py,644,state,fail,assign
blueprints/auth/tasks/import_inv.py,88,state,done,assign
blueprints/auth/tasks/import_inv.py,92,state,fail,assign
blueprints/auth/tasks/import_inv.py,167,state,done,assign
blueprints/auth/tasks/import_inv.py,171,state,fail,assign
blueprints/auth/tasks/import_inv.py,287,state,done,assign
blueprints/auth/tasks/import_inv.py,291,state,fail,assign
blueprints/auth/tasks/import_stockin.py,113,state,done,assign
blueprints/auth/tasks/import_stockin.py,117,state,fail,assign
blueprints/auth/tasks/import_stockout.py,113,state,done,assign
blueprints/auth/tasks/import_stockout.py,117,state,fail,assign
blueprints/auth/views.py,405,state,delete,compare
blueprints/auth/views.py,478,state,delete,compare
blueprints/auth/views_async.py,157,state,doing,assign
blueprints/auth/views_async.py,230,state,doing,assign
blueprints/auth/views_async.py,284,state,PENDING,compare
blueprints/auth/views_async.py,286,state,FAILURE,compare
blueprints/auth/views_async.py,287,state,done,assign
blueprints/auth/views_async.py,289,state,fail,assign
blueprints/auth/views_async.py,313,state,done,compare
blueprints/auth/views_async.py,315,state,doing,compare
blueprints/auth/views_async.py,320,state,done,compare
blueprints/auth/views_async.py,322,state,fail,compare
blueprints/auth/views_async.py,350,state,done,assign
blueprints/finance/action.py,209,state,done,assign
blueprints/finance/action.py,212,state,partdone,assign
blueprints/finance/action.py,216,state,doing,assign
blueprints/finance/stat_views.py,108,state,cancel,compare
blueprints/finance/stat_views.py,277,state,cancel,compare
blueprints/finance/stat_views.py,398,state,cancel,compare
blueprints/finance/views.py,110,state,create,compare
blueprints/finance/views.py,111,state,cancel,assign
blueprints/finance/views.py,267,state,on,compare
blueprints/finance/views.py,268,state,off,assign
blueprints/index/action.py,47,state,done,compare
blueprints/index/action.py,54,state,doing,compare
blueprints/index/action.py,55,state,done,compare
blueprints/inv/action.py,31,state,on,compare
blueprints/inv/action.py,32,state,down,assign
blueprints/inv/action.py,34,state,on,assign
blueprints/inv/action.py,918,state,done,assign
blueprints/inv/action.py,925,state,cancel,assign
blueprints/inv/action.py,993,state,done,assign
blueprints/inv/action.py,1002,state,create,compare
blueprints/inv/action.py,1003,state,cancel,assign
blueprints/inv/action.py,1004,state,doing,compare
blueprints/inv/action.py,1010,state,cancel,assign
blueprints/inv/action.py,1019,state,create,compare
blueprints/inv/action.py,1020,state,done,assign
blueprints/inv/action.py,1021,state,doing,compare
blueprints/inv/action.py,1027,state,done,assign
blueprints/inv/action.py,1063,state,doing,assign
blueprints/inv/action.py,1075,state,done,assign
blueprints/inv/action.py,1180,state,create,assign
blueprints/inv/action.py,1187,state,done,assign
blueprints/inv/action.py,1199,state,create,compare
blueprints/inv/action.py,1200,state,cancel,assign
blueprints/inv/views.py,317,state,delete,compare
blueprints/inv/views.py,326,state,on,compare
blueprints/inv/views.py,379,state,on,compare
blueprints/inv/views.py,463,state,on,compare
blueprints/inv/views.py,689,state,down,compare
blueprints/inv/views.py,1250,state,on,compare
blueprints/inv/views_replenish.py,121,state,doing,assign
blueprints/qimen/action.py,547,state,create,compare
blueprints/qimen/action.py,548,state,cancel,assign
blueprints/qimen/action.py,553,state,create,compare
blueprints/qimen/action.py,554,state,cancel,assign
blueprints/qimen/action.py,556,state,doing,compare
blueprints/qimen/action.py,556,state_ship,no,compare
blueprints/qimen/action.py,694,status,CLOSED,assign
blueprints/qimen/action.py,721,status,CLOSED,assign
blueprints/qimen/action.py,750,status,CLOSED,assign
blueprints/qimen/action.py,779,status,CLOSED,assign
blueprints/stockin/action.py,425,state,done,compare
blueprints/stockin/views.py,90,state,cancel,compare
blueprints/stockin/views.py,92,state,doing,compare
blueprints/stockin/views.py,105,state,create,compare
blueprints/stockin/views.py,181,state,create,compare
blueprints/stockin/views.py,285,state,part,assign
blueprints/stockin/views.py,296,state,all,compare
blueprints/stockin/views.py,311,state,cancel,compare
blueprints/stockin/views.py,313,state,doing,compare
blueprints/stockin/views.py,374,state,part,assign
blueprints/stockin/views.py,382,state,all,compare
blueprints/stockin/views.py,470,state,all,assign
blueprints/stockin/views.py,483,state,all,compare
blueprints/stockin/views.py,515,state,done,assign
blueprints/stockin/views.py,529,state,cancel,compare
blueprints/stockin/views.py,529,state,done,compare
blueprints/stockin/views.py,530,state,cancel,assign
blueprints/stockin/views.py,561,state,create,compare
blueprints/stockin/views.py,561,state,part,compare
blueprints/stockin/views.py,570,state,part,assign
blueprints/stockin/views.py,579,state,all,compare
blueprints/stockin/views.py,596,state,done,compare
blueprints/stockout/action.py,194,state_alloc,done,assign
blueprints/stockout/action.py,195,state,doing,assign
blueprints/stockout/action.py,197,state_alloc,part,assign
blueprints/stockout/action.py,198,state,doing,assign
blueprints/stockout/action.py,205,state_ship,no,compare
